url,post_id,platform,light_system_mention,fraud_keywords,fraud_score,tier_recommendation,pricing_claims,status
http://Boundlessloveandlighthealing.com/,3082,website,True,"quantum,healing,frequency,energy",53,2,,success
http://Quantumlightwellness.com/,9560,website,True,"quantum,healing,frequency,energy",53,2,,success
http://QuantumLightWellness.com/,9574,website,True,"quantum,healing,frequency,energy",53,2,,success
https://radianthealingunlimited.net/,4203,website,True,"healing,frequency,energy",50,2,,success
http://Jasonshurka.com/superhuman,9361,website,True,"quantum,breakthrough",50,2,,success
http://jasonshurka.com/superhuman,9429,website,True,"quantum,breakthrough",50,2,,success
http://TLSMarketplace.shop/,9892,website,True,"quantum,frequency",50,2,,success
https://TLSmarketplace.shop/,9864,website,True,"quantum,frequency",50,2,,success
http://tlsmarketplace.shop/,9514,website,True,"quantum,frequency",50,2,,success
https://TLSMarketplace.shop/,9580,website,True,"quantum,frequency",50,2,,success
https://jasonshurka.com/transformation,7387,website,True,"quantum,breakthrough",50,2,,success
https://www.tlsmarketplace.shop/,9695,website,True,"quantum,frequency",50,2,,success
http://Jasonshurka.com/transformation,5537,website,True,"quantum,breakthrough",50,2,,success
http://TLSmarketplace.shop/,9714,website,True,"quantum,frequency",50,2,,success
http://www.jasonshurka.com/superhuman,9749,website,True,"quantum,breakthrough",50,2,,success
https://meditechtoday.com/wellness-tech-devices-energy-based-health/,9908,website,True,"energy,medical,doctor,therapy",50,2,,success
https://ZenzoneFL.com/,7080,website,True,"frequency,energy,therapy",49,2,,success
https://tickchak.co.il/53284?ref=13BW,6124,website,True,"healing,energy",48,2,,success
https://www.villageenergyspa.com/,9422,website,True,"healing,energy",48,2,,success
https://www.tlsmarketplace.shop/collections/supplements,9908,website,True,"frequency,energy",48,2,,success
https://tickchak.co.il/64178,8221,website,True,"healing,energy",48,2,,success
https://www.TheLightSystems.com/,9261,website,True,revolutionary,47,2,,success
http://TheLightsystems.com/,8830,website,True,revolutionary,47,2,,success
https://www.coasttocoastam.com/show/2021-11-23-show/,1087,website,True,healing,47,2,,success
https://TheLightSystems.com/,9483,website,True,revolutionary,47,2,,success
https://lightenergy.co.il/,9599,website,True,energy,46,2,,success
https://jasonshurka.com/truth,6333,website,True,,45,2,,success
http://thelightsystems.com/,9665,website,True,,45,2,,success
https://shop.thelightsystems.com/affiliate-signup/,8868,website,True,,45,2,,success
https://www.jasonshurka.com/,9326,website,True,,45,2,,success
https://raysoflightli.com/events/tls-your-questions-answered-with-jason-shurka/,6324,website,True,,45,2,,success
https://www.jasonshurka.com/truth,6371,website,True,,45,2,,success
https://jasonshurka.com/tls,8025,website,True,,45,2,,success
https://Jasonshurka.com/,4045,website,True,,45,2,,success
https://www.thelightsystems.com/_files/ugd/f4bb1d_d6640a05d6dc4487a8810a36b00a3322.pdf,8936,website,True,,45,2,,success
http://www.jasonshurka.com/tls-mission-updates,195,website,True,,45,2,,success
http://thelightsystems.com/payment-plans,9633,website,True,,45,2,,success
https://www.thelightsystems.com/the-pyramid,8857,website,True,,45,2,,success
https://thelightsystems.com/chair,9619,website,True,,45,2,,success
http://TheLightSystems.com/chair,9613,website,True,,45,2,,success
https://thelightsystems.com/legal,9304,website,True,,45,2,,success
https://thelightsystems.com/cube,9182,website,True,,45,2,,success
https://rumble.com/c/c-1455763,1698,website,True,,45,2,,success
http://thelightsystems.com/chair,9571,website,True,,45,2,,success
https://www.jasonshurka.com/tls,5605,website,True,,45,2,,success
https://thelightsystems.com/research,9267,website,True,,45,2,,success
http://Jasonshurka.com/,9267,website,True,,45,2,,success
https://www.latimes.com/b2b/business-partnerships/story/2025-07-25/resonance-reimagined-the-light-system-is-here,9467,website,True,,45,2,,success
https://jasonshurka.com/,9463,website,True,,45,2,,success
http://Jasonshurka.com/tls,4806,website,True,,45,2,,success
https://thelightsystems.com/cube/,9150,website,True,,45,2,,success
https://thelightsystems.com/,9902,website,True,,45,2,,success
https://www.thelightsystems.com/,9874,website,True,,45,2,,success
https://thelightsystems.com/payment-plans/,9839,website,True,,45,2,,success
http://www.Jasonshurka.com/,189,website,True,,45,2,,success
https://koalendar.com/e/speakwiththelightsystem,9808,website,True,,45,2,,success
http://TheLightSystems.com/,9882,website,True,,45,2,,success
https://youtu.be/oIXmaWQsGBQ,9256,youtube,True,"healing,frequency",44,2,,success
https://www.youtube.com/watch?v=zIlDlU-69ds&t=1s,9483,youtube,True,"quantum,energy",44,2,,success
https://youtu.be/_2dMD1FzILE?si=ki5bQg9oxy_sF7Vo,8986,youtube,True,"healing,breakthrough",44,2,,success
https://youtu.be/CN3rEwlzibs?si=Y23Ficf2gd04DQE1,9028,youtube,True,healing,42,2,,success
https://youtu.be/CN3rEwlzibs,8929,youtube,True,healing,42,2,,success
https://youtu.be/Lrn5i3Vo9OI,9892,youtube,True,healing,42,2,,success
https://www.youtube.com/watch?v=CN3rEwlzibs,8922,youtube,True,healing,42,2,,success
https://youtu.be/rQMB5rzifHQ,8999,youtube,True,healing,42,2,,success
